Ensembl Gene ID	GO Term Accession	GO Term Name	GO Term Definition	GO Term Evidence Code	GO domain	Description	shared name
ENSG00000183765	GO:0016605	PML body	A class of nuclear body; they react against SP100 auto-antibodies (PML, promyelocytic leukemia); cells typically contain 10-30 PML bodies per nucleus; alterations in the localization of PML bodies occurs after viral infection. [GOC:ma, PMID:10944585]	IDA	cellular_component	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0046777	protein autophosphorylation	The phosphorylation by a protein of one or more of its own amino acid residues (cis-autophosphorylation), or residues on an identical protein (trans-autophosphorylation). [ISBN:0198506732]	IDA	biological_process	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0050821	protein stabilization	Any process involved in maintaining the structure and integrity of a protein and preventing it from degradation or aggregation. [GOC:ai]	IDA	biological_process	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0000086	G2/M transition of mitotic cell cycle	The mitotic cell cycle transition by which a cell in G2 commits to M phase. The process begins when the kinase activity of M cyclin/CDK complex reaches a threshold high enough for the cell cycle to proceed. This is accomplished by activating a positive feedback loop that results in the accumulation of unphosphorylated and active M cyclin/CDK complex. [GOC:mtg_cell_cycle]	IMP	biological_process	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0044257	cellular protein catabolic process	The chemical reactions and pathways resulting in the breakdown of a protein by individual cells. [GOC:jl]	IMP	biological_process	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0072428	signal transduction involved in intra-S DNA damage checkpoint	A signal transduction process that contributes to an intra-S DNA damage checkpoint. [GOC:mah]	IMP	biological_process	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0042770	signal transduction in response to DNA damage	A cascade of processes induced by the detection of DNA damage within a cell. [GOC:go_curators]	IDA	biological_process	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0001302	replicative cell aging	The process associated with progression of the cell from its inception to the end of its lifespan that occurs as the cell continues cycles of growth and division. [GOC:jh, PMID:12044934]	IMP	biological_process	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0005654	nucleoplasm	That part of the nuclear content other than the chromosomes or the nucleolus. [GOC:ma, ISBN:0124325653]	IDA	cellular_component	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0005794	Golgi apparatus	A compound membranous cytoplasmic organelle of eukaryotic cells, consisting of flattened, ribosome-free vesicles arranged in a more or less regular stack. The Golgi apparatus differs from the endoplasmic reticulum in often having slightly thicker membranes, appearing in sections as a characteristic shallow semicircle so that the convex side (cis or entry face) abuts the endoplasmic reticulum, secretory vesicles emerging from the concave side (trans or exit face). In vertebrate cells there is usually one such organelle, while in invertebrates and plants, where they are known usually as dictyosomes, there may be several scattered in the cytoplasm. The Golgi apparatus processes proteins produced on the ribosomes of the rough endoplasmic reticulum; such processing includes modification of the core oligosaccharides of glycoproteins, and the sorting and packaging of proteins for transport to a variety of cellular locations. Three different regions of the Golgi are now recognized both in terms of structure and function: cis, in the vicinity of the cis face, trans, in the vicinity of the trans face, and medial, lying between the cis and trans regions. [ISBN:0198506732]	IDA	cellular_component	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0006468	protein phosphorylation	The process of introducing a phosphate group on to a protein. [GOC:hb]	IEA	biological_process	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0005524	ATP binding	Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator. [ISBN:0198506732]	IEA	molecular_function	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0004672	protein kinase activity	Catalysis of the phosphorylation of an amino acid residue in a protein, usually according to the reaction: a protein + ATP = a phosphoprotein + ADP. [MetaCyc:PROTEIN-KINASE-RXN]	IEA	molecular_function	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0005515	protein binding	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules). [GOC:go_curators]	IEA	molecular_function	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0005654	nucleoplasm	That part of the nuclear content other than the chromosomes or the nucleolus. [GOC:ma, ISBN:0124325653]	IDA	cellular_component	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0005794	Golgi apparatus	A compound membranous cytoplasmic organelle of eukaryotic cells, consisting of flattened, ribosome-free vesicles arranged in a more or less regular stack. The Golgi apparatus differs from the endoplasmic reticulum in often having slightly thicker membranes, appearing in sections as a characteristic shallow semicircle so that the convex side (cis or entry face) abuts the endoplasmic reticulum, secretory vesicles emerging from the concave side (trans or exit face). In vertebrate cells there is usually one such organelle, while in invertebrates and plants, where they are known usually as dictyosomes, there may be several scattered in the cytoplasm. The Golgi apparatus processes proteins produced on the ribosomes of the rough endoplasmic reticulum; such processing includes modification of the core oligosaccharides of glycoproteins, and the sorting and packaging of proteins for transport to a variety of cellular locations. Three different regions of the Golgi are now recognized both in terms of structure and function: cis, in the vicinity of the cis face, trans, in the vicinity of the trans face, and medial, lying between the cis and trans regions. [ISBN:0198506732]	IDA	cellular_component	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0006468	protein phosphorylation	The process of introducing a phosphate group on to a protein. [GOC:hb]	IEA	biological_process	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0005524	ATP binding	Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator. [ISBN:0198506732]	IEA	molecular_function	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0004672	protein kinase activity	Catalysis of the phosphorylation of an amino acid residue in a protein, usually according to the reaction: a protein + ATP = a phosphoprotein + ADP. [MetaCyc:PROTEIN-KINASE-RXN]	IEA	molecular_function	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0006468	protein phosphorylation	The process of introducing a phosphate group on to a protein. [GOC:hb]	IEA	biological_process	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0005524	ATP binding	Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator. [ISBN:0198506732]	IEA	molecular_function	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0004672	protein kinase activity	Catalysis of the phosphorylation of an amino acid residue in a protein, usually according to the reaction: a protein + ATP = a phosphoprotein + ADP. [MetaCyc:PROTEIN-KINASE-RXN]	IEA	molecular_function	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765						checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0005654	nucleoplasm	That part of the nuclear content other than the chromosomes or the nucleolus. [GOC:ma, ISBN:0124325653]	IDA	cellular_component	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0005794	Golgi apparatus	A compound membranous cytoplasmic organelle of eukaryotic cells, consisting of flattened, ribosome-free vesicles arranged in a more or less regular stack. The Golgi apparatus differs from the endoplasmic reticulum in often having slightly thicker membranes, appearing in sections as a characteristic shallow semicircle so that the convex side (cis or entry face) abuts the endoplasmic reticulum, secretory vesicles emerging from the concave side (trans or exit face). In vertebrate cells there is usually one such organelle, while in invertebrates and plants, where they are known usually as dictyosomes, there may be several scattered in the cytoplasm. The Golgi apparatus processes proteins produced on the ribosomes of the rough endoplasmic reticulum; such processing includes modification of the core oligosaccharides of glycoproteins, and the sorting and packaging of proteins for transport to a variety of cellular locations. Three different regions of the Golgi are now recognized both in terms of structure and function: cis, in the vicinity of the cis face, trans, in the vicinity of the trans face, and medial, lying between the cis and trans regions. [ISBN:0198506732]	IDA	cellular_component	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0006468	protein phosphorylation	The process of introducing a phosphate group on to a protein. [GOC:hb]	IEA	biological_process	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0005524	ATP binding	Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator. [ISBN:0198506732]	IEA	molecular_function	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0004672	protein kinase activity	Catalysis of the phosphorylation of an amino acid residue in a protein, usually according to the reaction: a protein + ATP = a phosphoprotein + ADP. [MetaCyc:PROTEIN-KINASE-RXN]	IEA	molecular_function	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0005515	protein binding	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules). [GOC:go_curators]	IEA	molecular_function	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765						checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0005654	nucleoplasm	That part of the nuclear content other than the chromosomes or the nucleolus. [GOC:ma, ISBN:0124325653]	IDA	cellular_component	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0005794	Golgi apparatus	A compound membranous cytoplasmic organelle of eukaryotic cells, consisting of flattened, ribosome-free vesicles arranged in a more or less regular stack. The Golgi apparatus differs from the endoplasmic reticulum in often having slightly thicker membranes, appearing in sections as a characteristic shallow semicircle so that the convex side (cis or entry face) abuts the endoplasmic reticulum, secretory vesicles emerging from the concave side (trans or exit face). In vertebrate cells there is usually one such organelle, while in invertebrates and plants, where they are known usually as dictyosomes, there may be several scattered in the cytoplasm. The Golgi apparatus processes proteins produced on the ribosomes of the rough endoplasmic reticulum; such processing includes modification of the core oligosaccharides of glycoproteins, and the sorting and packaging of proteins for transport to a variety of cellular locations. Three different regions of the Golgi are now recognized both in terms of structure and function: cis, in the vicinity of the cis face, trans, in the vicinity of the trans face, and medial, lying between the cis and trans regions. [ISBN:0198506732]	IDA	cellular_component	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0005515	protein binding	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules). [GOC:go_curators]	IEA	molecular_function	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0045893	positive regulation of transcription, DNA-templated	Any process that activates or increases the frequency, rate or extent of cellular DNA-templated transcription. [GOC:go_curators, GOC:txnOH]	IDA	biological_process	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0019901	protein kinase binding	Interacting selectively and non-covalently with a protein kinase, any enzyme that catalyzes the transfer of a phosphate group, usually from ATP, to a protein substrate. [GOC:jl]	IPI	molecular_function	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0042176	regulation of protein catabolic process	Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the breakdown of a protein by the destruction of the native, active configuration, with or without the hydrolysis of peptide bonds. [GOC:go_curators, GOC:jl]	IMP	biological_process	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0005654	nucleoplasm	That part of the nuclear content other than the chromosomes or the nucleolus. [GOC:ma, ISBN:0124325653]	IDA	cellular_component	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0005794	Golgi apparatus	A compound membranous cytoplasmic organelle of eukaryotic cells, consisting of flattened, ribosome-free vesicles arranged in a more or less regular stack. The Golgi apparatus differs from the endoplasmic reticulum in often having slightly thicker membranes, appearing in sections as a characteristic shallow semicircle so that the convex side (cis or entry face) abuts the endoplasmic reticulum, secretory vesicles emerging from the concave side (trans or exit face). In vertebrate cells there is usually one such organelle, while in invertebrates and plants, where they are known usually as dictyosomes, there may be several scattered in the cytoplasm. The Golgi apparatus processes proteins produced on the ribosomes of the rough endoplasmic reticulum; such processing includes modification of the core oligosaccharides of glycoproteins, and the sorting and packaging of proteins for transport to a variety of cellular locations. Three different regions of the Golgi are now recognized both in terms of structure and function: cis, in the vicinity of the cis face, trans, in the vicinity of the trans face, and medial, lying between the cis and trans regions. [ISBN:0198506732]	IDA	cellular_component	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0004674	protein serine/threonine kinase activity	Catalysis of the reactions: ATP + protein serine = ADP + protein serine phosphate, and ATP + protein threonine = ADP + protein threonine phosphate. [GOC:bf]	IDA	molecular_function	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0031625	ubiquitin protein ligase binding	Interacting selectively and non-covalently with a ubiquitin protein ligase enzyme, any of the E3 proteins. [GOC:vp]	IPI	molecular_function	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0008630	intrinsic apoptotic signaling pathway in response to DNA damage	A series of molecular signals in which an intracellular signal is conveyed to trigger the apoptotic death of a cell. The pathway is induced by the detection of DNA damage, and ends when the execution phase of apoptosis is triggered. [GOC:go_curators, GOC:mtg_apoptosis]	IDA	biological_process	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0042803	protein homodimerization activity	Interacting selectively and non-covalently with an identical protein to form a homodimer. [GOC:jl]	IDA	molecular_function	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0006351	transcription, DNA-templated	The cellular synthesis of RNA on a template of DNA. [GOC:jl, GOC:txnOH]	IEA	biological_process	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0006355	regulation of transcription, DNA-templated	Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription. [GOC:go_curators, GOC:txnOH]	IDA	biological_process	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0046872	metal ion binding	Interacting selectively and non-covalently with any metal ion. [GOC:ai]	IEA	molecular_function	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0051301	cell division	The process resulting in division and partitioning of components of a cell to form more cells; may or may not be accompanied by the physical separation of a cell into distinct, individually membrane-bounded daughter cells. [GOC:di, GOC:go_curators, GOC:pr]	IEA	biological_process	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0006468	protein phosphorylation	The process of introducing a phosphate group on to a protein. [GOC:hb]	IDA	biological_process	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0006468	protein phosphorylation	The process of introducing a phosphate group on to a protein. [GOC:hb]	IEA	biological_process	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0005524	ATP binding	Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator. [ISBN:0198506732]	IEA	molecular_function	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0004672	protein kinase activity	Catalysis of the phosphorylation of an amino acid residue in a protein, usually according to the reaction: a protein + ATP = a phosphoprotein + ADP. [MetaCyc:PROTEIN-KINASE-RXN]	IEA	molecular_function	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0005515	protein binding	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules). [GOC:go_curators]	IPI	molecular_function	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0005515	protein binding	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules). [GOC:go_curators]	IEA	molecular_function	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0090307	mitotic spindle assembly	The aggregation, arrangement and bonding together of a set of components to form the spindle that contributes to the process of mitosis. [GOC:tb, GOC:vw]	IMP	biological_process	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0006974	cellular response to DNA damage stimulus	Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to its DNA from environmental insults or errors during metabolism. [GOC:go_curators]	IMP	biological_process	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0090399	replicative senescence	A cell aging process associated with the dismantling of a cell as a response to telomere shortening and/or cellular aging. [GOC:BHF]	NAS	biological_process	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0000077	DNA damage checkpoint	A cell cycle checkpoint that regulates progression through the cell cycle in response to DNA damage. A DNA damage checkpoint may blocks cell cycle progression (in G1, G2 or metaphase) or slow the rate at which S phase proceeds. [GOC:mtg_cell_cycle]	TAS	biological_process	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0006302	double-strand break repair	The repair of double-strand breaks in DNA via homologous and nonhomologous mechanisms to reform a continuous DNA helix. [GOC:elh]	IMP	biological_process	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0000781	chromosome, telomeric region	The terminal region of a linear chromosome that includes the telomeric DNA repeats and associated proteins. [GOC:elh]	IDA	cellular_component	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0042802	identical protein binding	Interacting selectively and non-covalently with an identical protein or proteins. [GOC:jl]	IPI	molecular_function	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0006975	DNA damage induced protein phosphorylation	The widespread phosphorylation of various molecules, triggering many downstream processes, that occurs in response to the detection of DNA damage. [GOC:go_curators]	IMP	biological_process	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0016605	PML body	A class of nuclear body; they react against SP100 auto-antibodies (PML, promyelocytic leukemia); cells typically contain 10-30 PML bodies per nucleus; alterations in the localization of PML bodies occurs after viral infection. [GOC:ma, PMID:10944585]	IDA	cellular_component	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0046777	protein autophosphorylation	The phosphorylation by a protein of one or more of its own amino acid residues (cis-autophosphorylation), or residues on an identical protein (trans-autophosphorylation). [ISBN:0198506732]	IDA	biological_process	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0050821	protein stabilization	Any process involved in maintaining the structure and integrity of a protein and preventing it from degradation or aggregation. [GOC:ai]	IDA	biological_process	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0000086	G2/M transition of mitotic cell cycle	The mitotic cell cycle transition by which a cell in G2 commits to M phase. The process begins when the kinase activity of M cyclin/CDK complex reaches a threshold high enough for the cell cycle to proceed. This is accomplished by activating a positive feedback loop that results in the accumulation of unphosphorylated and active M cyclin/CDK complex. [GOC:mtg_cell_cycle]	IMP	biological_process	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0044257	cellular protein catabolic process	The chemical reactions and pathways resulting in the breakdown of a protein by individual cells. [GOC:jl]	IMP	biological_process	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0072428	signal transduction involved in intra-S DNA damage checkpoint	A signal transduction process that contributes to an intra-S DNA damage checkpoint. [GOC:mah]	IMP	biological_process	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0042770	signal transduction in response to DNA damage	A cascade of processes induced by the detection of DNA damage within a cell. [GOC:go_curators]	IDA	biological_process	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0001302	replicative cell aging	The process associated with progression of the cell from its inception to the end of its lifespan that occurs as the cell continues cycles of growth and division. [GOC:jh, PMID:12044934]	IMP	biological_process	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000183765	GO:0005515	protein binding	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules). [GOC:go_curators]	IEA	molecular_function	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	11200
ENSG00000149257	GO:0005783	endoplasmic reticulum	The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached). [ISBN:0198506732]	IDA	cellular_component	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1) [Source:HGNC Symbol;Acc:HGNC:1546]	871
ENSG00000149257	GO:0004867	serine-type endopeptidase inhibitor activity	Stops, prevents or reduces the activity of serine-type endopeptidases, enzymes that catalyze the hydrolysis of nonterminal peptide bonds in a polypeptide chain; a serine residue (and a histidine residue) are at the active center of the enzyme. [GOC:ai]	TAS	molecular_function	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1) [Source:HGNC Symbol;Acc:HGNC:1546]	871
ENSG00000149257	GO:0010951	negative regulation of endopeptidase activity	Any process that decreases the frequency, rate or extent of endopeptidase activity, the endohydrolysis of peptide bonds within proteins. [GOC:dph, GOC:tb]	IBA	biological_process	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1) [Source:HGNC Symbol;Acc:HGNC:1546]	871
ENSG00000149257	GO:0044822	poly(A) RNA binding	Interacting non-covalently with a poly(A) RNA, a RNA molecule which has a tail of adenine bases. [GOC:jl]	IDA	molecular_function	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1) [Source:HGNC Symbol;Acc:HGNC:1546]	871
ENSG00000149257	GO:0006986	response to unfolded protein	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an unfolded protein stimulus. [GOC:jl]	TAS	biological_process	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1) [Source:HGNC Symbol;Acc:HGNC:1546]	871
ENSG00000149257	GO:0070062	extracellular exosome	A membrane-bounded vesicle that is released into the extracellular region by fusion of the limiting endosomal membrane of a multivesicular body with the plasma membrane. Extracellular exosomes, also simply called exosomes, have a diameter of about 40-100 nm. [GOC:BHF, GOC:mah, PMID:15908444, PMID:17641064, PMID:19442504, PMID:19498381, PMID:22418571, PMID:24009894]	IDA	cellular_component	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1) [Source:HGNC Symbol;Acc:HGNC:1546]	871
ENSG00000149257	GO:0005793	endoplasmic reticulum-Golgi intermediate compartment	A complex system of membrane-bounded compartments located between endoplasmic reticulum (ER) and the Golgi complex, with a distinctive membrane protein composition; involved in ER-to-Golgi  and Golgi-to-ER transport. [GOC:pr, PMID:16723730]	IDA	cellular_component	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1) [Source:HGNC Symbol;Acc:HGNC:1546]	871
ENSG00000149257	GO:0005788	endoplasmic reticulum lumen	The volume enclosed by the membranes of the endoplasmic reticulum. [ISBN:0198547684]	TAS	cellular_component	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1) [Source:HGNC Symbol;Acc:HGNC:1546]	871
ENSG00000149257	GO:0030199	collagen fibril organization	Any process that determines the size and arrangement of collagen fibrils within an extracellular matrix. [GOC:mah, ISBN:0815316194]	IBA	biological_process	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1) [Source:HGNC Symbol;Acc:HGNC:1546]	871
ENSG00000149257	GO:0005518	collagen binding	Interacting selectively and non-covalently with collagen, a group of fibrous proteins of very high tensile strength that form the main component of connective tissue in animals. Collagen is highly enriched in glycine (some regions are 33% glycine) and proline, occurring predominantly as 3-hydroxyproline (about 20%). [GOC:ai, ISBN:0198506732]	IBA	molecular_function	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1) [Source:HGNC Symbol;Acc:HGNC:1546]	871
ENSG00000149257	GO:0030198	extracellular matrix organization	A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an extracellular matrix. [GOC:mah]	TAS	biological_process	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1) [Source:HGNC Symbol;Acc:HGNC:1546]	871
ENSG00000149257	GO:0045121	membrane raft	Any of the small (10-200 nm), heterogeneous, highly dynamic, sterol- and sphingolipid-enriched membrane domains that compartmentalize cellular processes. Small rafts can sometimes be stabilized to form larger platforms through protein-protein and protein-lipid interactions. [PMID:16645198]	IDA	cellular_component	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1) [Source:HGNC Symbol;Acc:HGNC:1546]	871
ENSG00000149257	GO:0005783	endoplasmic reticulum	The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached). [ISBN:0198506732]	IDA	cellular_component	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1) [Source:HGNC Symbol;Acc:HGNC:1546]	871
ENSG00000149257	GO:0004867	serine-type endopeptidase inhibitor activity	Stops, prevents or reduces the activity of serine-type endopeptidases, enzymes that catalyze the hydrolysis of nonterminal peptide bonds in a polypeptide chain; a serine residue (and a histidine residue) are at the active center of the enzyme. [GOC:ai]	TAS	molecular_function	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1) [Source:HGNC Symbol;Acc:HGNC:1546]	871
ENSG00000149257	GO:0010951	negative regulation of endopeptidase activity	Any process that decreases the frequency, rate or extent of endopeptidase activity, the endohydrolysis of peptide bonds within proteins. [GOC:dph, GOC:tb]	IBA	biological_process	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1) [Source:HGNC Symbol;Acc:HGNC:1546]	871
ENSG00000149257	GO:0044822	poly(A) RNA binding	Interacting non-covalently with a poly(A) RNA, a RNA molecule which has a tail of adenine bases. [GOC:jl]	IDA	molecular_function	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1) [Source:HGNC Symbol;Acc:HGNC:1546]	871
